=== QuantDev Winning Math Report ===
Generated: 2025-12-04T12:57:18-06:00
BaseDir:  data
OOS Cut:  2024-01-01 (YMD=20240101)


==================================================
SYMBOL: BTCUSDT
==================================================

-- BTCUSDT | Horizon: 0.500s (500 ms) --
FEATURE           SET  COUNT     IC      Sharpe  HitRate  B/E_Bps  AutoCorr  AutoCorrAbs  AvgSeg  MaxSeg
Force_DEMA_15s    OOS  22449811  0.1347  0.114   0.590    1.14     0.931     0.782        119.43  13988
Impulse_15s       IS   47260210  0.0440  0.037   0.541    0.32     0.858     0.684        97.31   21626
Impulse_15s       OOS  22449811  0.1049  0.087   0.565    0.87     0.927     0.790        177.93  17647
OFI_Cubic_15s     IS   47260210  0.0264  0.021   0.527    4.74     0.994     0.995        226.75  27943
OFI_Cubic_15s     OOS  22449811  0.0601  0.051   0.539    17.26    0.998     0.998        435.27  32656
OFI_DEMA_15s      IS   47260210  0.0583  0.049   0.555    3.22     0.963     0.964        65.68   17759
OFI_DEMA_15s      OOS  22449811  0.1043  0.081   0.590    10.86    0.994     0.993        119.43  13988
OFI_DEMA_5s       IS   47260210  0.0989  0.085   0.585    3.22     0.938     0.940        32.19   10420
OFI_DEMA_5s       OOS  22449811  0.1669  0.121   0.645    9.48     0.987     0.986        56.16   6814
OFI_EMA_15s       IS   47260210  0.0410  0.034   0.541    3.02     0.972     0.972        97.31   21626
OFI_EMA_15s       OOS  22449811  0.0796  0.060   0.565    11.45    0.996     0.996        177.93  17647
OFI_RSI_15s       IS   47260210  0.0521  0.056   0.541    3.81     0.988     0.982        97.31   21626
OFI_RSI_15s       OOS  22449811  0.1084  0.110   0.565    10.78    0.995     0.992        177.93  17647
OFI_Raw           IS   47260210  0.0913  0.063   0.569    0.33     0.263     0.228        3.44    689
OFI_Raw           OOS  22449811  0.1400  0.091   0.708    0.40     0.138     0.118        4.44    1061
OFI_TEMA_15s      IS   47260210  0.0712  0.059   0.565    3.29     0.957     0.958        51.56   13403
OFI_TEMA_15s      OOS  22449811  0.1228  0.096   0.606    10.44    0.993     0.992        92.84   10244
Sniper_Composite  IS   47260210  0.0349  0.027   0.527    4.20     0.991     0.990        204.43  27943
Sniper_Composite  OOS  22449811  0.0661  0.054   0.540    15.02    0.998     0.998        421.17  32656
TCI_DEMA_15s      IS   47260210  0.0358  0.045   0.529    1.06     0.977     0.965        40.14   12131
TCI_DEMA_15s      OOS  22449811  0.0547  0.066   0.543    1.96     0.995     0.988        66.57   12480
TCI_EMA_15s       IS   47260210  0.0194  0.025   0.520    0.85     0.988     0.980        59.17   25608
TCI_EMA_15s       OOS  22449811  0.0335  0.040   0.528    1.84     0.998     0.995        102.55  36686
TCI_Raw           IS   47260210  0.1434  0.145   0.569    0.49     0.418     0.000        3.44    689
TCI_Raw           OOS  22449811  0.3220  0.340   0.708    1.00     0.550     0.000        4.44    1061
Vel_Inst          IS   47260210  0.1329  0.105   0.569    0.40     0.479     0.330        3.44    689
Vel_Inst          OOS  22449811  0.2522  0.177   0.708    0.53     0.408     0.293        4.44    1061

-- ETHUSDT | Horizon: 1.000s (1000 ms) --
FEATURE           SET  COUNT     IC      Sharpe  HitRate  B/E_Bps  AutoCorr  AutoCorrAbs  AvgSeg  MaxSeg
Force_DEMA_15s    IS   47260210  0.0603  0.051   0.552    0.56     0.868     0.682        65.68   17759
Force_DEMA_15s    OOS  22449811  0.1175  0.101   0.582    1.18     0.931     0.782        119.43  13988
Impulse_15s       IS   47260210  0.0416  0.035   0.539    0.38     0.858     0.684        97.31   21626
Impulse_15s       OOS  22449811  0.0901  0.076   0.559    0.89     0.927     0.790        177.93  17647
OFI_Cubic_15s     IS   47260210  0.0264  0.021   0.526    5.96     0.994     0.995        226.75  27943
OFI_Cubic_15s     OOS  22449811  0.0502  0.043   0.535    17.16    0.998     0.998        435.27  32656
OFI_DEMA_15s      IS   47260210  0.0574  0.050   0.552    3.97     0.963     0.964        65.68   17759
OFI_DEMA_15s      OOS  22449811  0.0916  0.075   0.582    11.37    0.994     0.993        119.43  13988
OFI_DEMA_5s       IS   47260210  0.0944  0.084   0.577    3.86     0.938     0.940        32.19   10420
OFI_DEMA_5s       OOS  22449811  0.1477  0.115   0.631    9.99     0.987     0.986        56.16   6814
OFI_EMA_15s       IS   47260210  0.0411  0.036   0.539    3.80     0.972     0.972        97.31   21626
OFI_EMA_15s       OOS  22449811  0.0689  0.055   0.559    11.80    0.996     0.996        177.93  17647
OFI_RSI_15s       IS   47260210  0.0498  0.055   0.539    4.58     0.988     0.982        97.31   21626
OFI_RSI_15s       OOS  22449811  0.0945  0.098   0.559    11.20    0.995     0.992        177.93  17647
OFI_Raw           IS   47260210  0.0850  0.063   0.563    0.38     0.263     0.228        3.44    689
OFI_Raw           OOS  22449811  0.1198  0.082   0.684    0.40     0.138     0.118        4.44    1061
OFI_TEMA_15s      IS   47260210  0.0692  0.060   0.560    4.02     0.957     0.958        51.56   13403
OFI_TEMA_15s      OOS  22449811  0.1084  0.090   0.596    10.99    0.993     0.992        92.84   10244
Sniper_Composite  IS   47260210  0.0349  0.028   0.526    5.26     0.991     0.990        204.43  27943
Sniper_Composite  OOS  22449811  0.0560  0.046   0.536    15.16    0.998     0.998        421.17  32656
TCI_DEMA_15s      IS   47260210  0.0376  0.049   0.529    1.40     0.977     0.965        40.14   12131
TCI_DEMA_15s      OOS  22449811  0.0510  0.062   0.540    2.18     0.995     0.988        66.57   12480
TCI_EMA_15s       IS   47260210  0.0215  0.029   0.521    1.19     0.988     0.980        59.17   25608
TCI_EMA_15s       OOS  22449811  0.0310  0.037   0.526    2.03     0.998     0.995        102.55  36686
TCI_Raw           IS   47260210  0.1262  0.127   0.563    0.55     0.418     0.000        3.44    689
TCI_Raw           OOS  22449811  0.2876  0.300   0.684    1.07     0.550     0.000        4.44    1061
Vel_Inst          IS   47260210  0.1164  0.093   0.563    0.44     0.479     0.330        3.44    689
Vel_Inst          OOS  22449811  0.2186  0.159   0.684    0.54     0.408     0.293        4.44    1061

-- ETHUSDT | Horizon: 2.000s (2000 ms) --
FEATURE           SET  COUNT     IC      Sharpe  HitRate  B/E_Bps  AutoCorr  AutoCorrAbs  AvgSeg  MaxSeg
Force_DEMA_15s    IS   47260210  0.0517  0.044   0.545    0.64     0.868     0.682        65.68   17759
Force_DEMA_15s    OOS  22449811  0.0953  0.083   0.568    1.19     0.931     0.782        119.43  13988
Impulse_15s       IS   47260210  0.0358  0.030   0.535    0.43     0.858     0.684        97.31   21626
Impulse_15s       OOS  22449811  0.0712  0.061   0.549    0.87     0.927     0.790        177.93  17647
OFI_Cubic_15s     IS   47260210  0.0239  0.019   0.523    7.20     0.994     0.995        226.75  27943
OFI_Cubic_15s     OOS  22449811  0.0387  0.034   0.529    16.43    0.998     0.998        435.27  32656
OFI_DEMA_15s      IS   47260210  0.0516  0.048   0.545    4.77     0.963     0.964        65.68   17759
OFI_DEMA_15s      OOS  22449811  0.0758  0.067   0.568    11.68    0.994     0.993        119.43  13988
OFI_DEMA_5s       IS   47260210  0.0833  0.078   0.565    4.55     0.938     0.940        32.19   10420
OFI_DEMA_5s       OOS  22449811  0.1226  0.107   0.609    10.31    0.987     0.986        56.16   6814
OFI_EMA_15s       IS   47260210  0.0374  0.035   0.535    4.62     0.972     0.972        97.31   21626
OFI_EMA_15s       OOS  22449811  0.0558  0.049   0.549    11.88    0.996     0.996        177.93  17647
OFI_RSI_15s       IS   47260210  0.0437  0.049   0.535    5.36     0.988     0.982        97.31   21626
OFI_RSI_15s       OOS  22449811  0.0766  0.082   0.549    11.28    0.995     0.992        177.93  17647
OFI_Raw           IS   47260210  0.0746  0.058   0.555    0.45     0.263     0.228        3.44    689
OFI_Raw           OOS  22449811  0.0989  0.071   0.652    0.42     0.138     0.118        4.44    1061
OFI_TEMA_15s      IS   47260210  0.0620  0.057   0.552    4.80     0.957     0.958        51.56   13403
OFI_TEMA_15s      OOS  22449811  0.0902  0.082   0.580    11.35    0.993     0.992        92.84   10244
Sniper_Composite  IS   47260210  0.0314  0.025   0.523    6.33     0.991     0.990        204.43  27943
Sniper_Composite  OOS  22449811  0.0446  0.038   0.529    14.98    0.998     0.998        421.17  32656
TCI_DEMA_15s      IS   47260210  0.0347  0.046   0.526    1.72     0.977     0.965        40.14   12131
TCI_DEMA_15s      OOS  22449811  0.0440  0.055   0.532    2.34     0.995     0.988        66.57   12480
TCI_EMA_15s       IS   47260210  0.0204  0.028   0.519    1.50     0.988     0.980        59.17   25608
TCI_EMA_15s       OOS  22449811  0.0261  0.032   0.521    2.13     0.998     0.995        102.55  36686
TCI_Raw           IS   47260210  0.1060  0.107   0.555    0.61     0.418     0.000        3.44    689
TCI_Raw           OOS  22449811  0.2445  0.252   0.652    1.13     0.550     0.000        4.44    1061
Vel_Inst          IS   47260210  0.0983  0.080   0.555    0.50     0.479     0.330        3.44    689
Vel_Inst          OOS  22449811  0.1819  0.137   0.652    0.56     0.408     0.293        4.44    1061

-- ETHUSDT | Horizon: 5.000s (5000 ms) --
FEATURE           SET  COUNT     IC      Sharpe  HitRate  B/E_Bps  AutoCorr  AutoCorrAbs  AvgSeg  MaxSeg
Force_DEMA_15s    IS   47260210  0.0266  0.023   0.532    0.49     0.868     0.682        65.68   17759
Force_DEMA_15s    OOS  22449811  0.0589  0.053   0.545    1.00     0.931     0.782        119.43  13988
Impulse_15s       IS   47260210  0.0145  0.012   0.524    0.26     0.858     0.684        97.31   21626
Impulse_15s       OOS  22449811  0.0408  0.036   0.532    0.68     0.927     0.790        177.93  17647
OFI_Cubic_15s     IS   47260210  0.0101  0.008   0.516    4.52     0.994     0.995        226.75  27943
OFI_Cubic_15s     OOS  22449811  0.0196  0.017   0.519    11.21    0.998     0.998        435.27  32656
OFI_DEMA_15s      IS   47260210  0.0329  0.032   0.532    4.53     0.963     0.964        65.68   17759
OFI_DEMA_15s      OOS  22449811  0.0517  0.047   0.545    10.75    0.994     0.993        119.43  13988
OFI_DEMA_5s       IS   47260210  0.0556  0.054   0.546    4.53     0.938     0.940        32.19   10420
OFI_DEMA_5s       OOS  22449811  0.0859  0.081   0.574    9.74     0.987     0.986        56.16   6814
OFI_EMA_15s       IS   47260210  0.0225  0.022   0.524    4.16     0.972     0.972        97.31   21626
OFI_EMA_15s       OOS  22449811  0.0356  0.031   0.532    10.21    0.996     0.996        177.93  17647
OFI_RSI_15s       IS   47260210  0.0250  0.028   0.524    4.58     0.988     0.982        97.31   21626
OFI_RSI_15s       OOS  22449811  0.0489  0.053   0.532    9.70     0.995     0.992        177.93  17647
OFI_Raw           IS   47260210  0.0497  0.040   0.542    0.45     0.263     0.228        3.44    689
OFI_Raw           OOS  22449811  0.0700  0.056   0.605    0.40     0.138     0.118        4.44    1061
OFI_TEMA_15s      IS   47260210  0.0403  0.039   0.536    4.66     0.957     0.958        51.56   13403
OFI_TEMA_15s      OOS  22449811  0.0627  0.059   0.553    10.65    0.993     0.992        92.84   10244
Sniper_Composite  IS   47260210  0.0152  0.012   0.516    4.56     0.991     0.990        204.43  27943
Sniper_Composite  OOS  22449811  0.0261  0.022   0.519    11.84    0.998     0.998        421.17  32656
TCI_DEMA_15s      IS   47260210  0.0234  0.032   0.517    1.74     0.977     0.965        40.14   12131
TCI_DEMA_15s      OOS  22449811  0.0299  0.037   0.519    2.15     0.995     0.988        66.57   12480
TCI_EMA_15s       IS   47260210  0.0129  0.019   0.513    1.43     0.988     0.980        59.17   25608
TCI_EMA_15s       OOS  22449811  0.0161  0.020   0.512    1.79     0.998     0.995        102.55  36686
TCI_Raw           IS   47260210  0.0696  0.070   0.542    0.60     0.418     0.000        3.44    689
