MODEL            HORIZON TrainN  TestN  PearsonIC SpearmanIC  HitRate HitZ  Sharpe Spread(bps) TopDecile(bps) BotDecile(bps)  MI(bits) NMI   ΔLogLoss
-----            ------- ------  -----  --------- ----------- ------- ----  ------ ----------- -------------- --------------- -------- ---   --------
Sig_LevyArea 1h  VolLow  293184 -0.0059 -0.0100 0.511 0.023
Sig_LevyArea 1h  VolMed  293184 -0.0022 0.0045  0.523 0.047
Sig_LevyArea 1h  VolHigh 293183 0.0263  0.0233  0.511 -0.008

Hilbert_Phase 15m VolLow  293184 -0.0071 -0.0063 0.497 -0.008
Hilbert_Phase 15m VolMed  293184 -0.0258 -0.0248 0.487 -0.028
Hilbert_Phase 15m VolHigh 293183 0.0043  -0.0030 0.491 0.007
Hilbert_Phase 30m VolLow  293184 -0.0127 -0.0122 0.493 -0.014
Hilbert_Phase 30m VolMed  293184 -0.0362 -0.0344 0.482 -0.037
Hilbert_Phase 30m VolHigh 293183 0.0062  -0.0004 0.492 0.008
Hilbert_Phase 1h  VolLow  293184 -0.0092 -0.0079 0.496 -0.009
Hilbert_Phase 1h  VolMed  293184 -0.0197 -0.0170 0.490 -0.020
Hilbert_Phase 1h  VolHigh 293183 0.0048  -0.0006 0.494 0.007



# Time-of-day regime OOS metrics (test segment only)
MODEL            HORIZON REGIME    Count  PearsonIC SpearmanIC  HitRate Sharpe
-----            ------- ------    -----  --------- ----------- ------- ------
Hawkes_Intensity 15m     TOD_Early 305366 -0.0009   0.0093      0.510   0.009
Hawkes_Intensity 15m     TOD_Mid   306240 0.0066    -0.0055     0.499   -0.013
Hawkes_Intensity 15m     TOD_Late  267945 0.0045    0.0134      0.520   0.013
Hawkes_Intensity 30m     TOD_Early 305366 0.0040    0.0115      0.513   0.011
Hawkes_Intensity 30m     TOD_Mid   306240 0.0062    -0.0062     0.495   -0.019
Hawkes_Intensity 30m     TOD_Late  267945 0.0212    0.0225      0.526   0.018
Hawkes_Intensity 1h      TOD_Early 305366 0.0056    0.0138      0.518   0.016
Hawkes_Intensity 1h      TOD_Mid   306240 0.0084    -0.0037     0.495   -0.027
Hawkes_Intensity 1h      TOD_Late  267945 0.0248    0.0274      0.534   0.028

Hawkes_OFI 15m TOD_Early 305366 0.0028  -0.0203 0.493 -0.007
Hawkes_OFI 15m TOD_Mid   306240 -0.0231 -0.0173 0.493 -0.004
Hawkes_OFI 15m TOD_Late  267945 -0.0420 -0.0311 0.487 -0.013
Hawkes_OFI 30m TOD_Early 305366 -0.0046 -0.0298 0.488 -0.010
Hawkes_OFI 30m TOD_Mid   306240 -0.0219 -0.0187 0.492 -0.006
Hawkes_OFI 30m TOD_Late  267945 -0.0603 -0.0432 0.479 -0.021
Hawkes_OFI 1h  TOD_Early 305366 -0.0135 -0.0265 0.490 -0.010
Hawkes_OFI 1h  TOD_Mid   306240 -0.0323 -0.0184 0.493 -0.008
Hawkes_OFI 1h  TOD_Late  267945 -0.0322 -0.0293 0.488 -0.011

Sig_LevyArea 15m TOD_Early 305366 -0.0053 0.0012  0.510 0.009
Sig_LevyArea 15m TOD_Mid   306240 0.0004  -0.0063 0.499 -0.013
Sig_LevyArea 15m TOD_Late  267945 0.0583  0.0323  0.520 0.012
Sig_LevyArea 30m TOD_Early 305366 -0.0065 0.0020  0.513 0.011
Sig_LevyArea 30m TOD_Mid   306240 -0.0053 -0.0084 0.495 -0.019
Sig_LevyArea 30m TOD_Late  267945 0.0893  0.0470  0.526 0.017
Sig_LevyArea 1h  TOD_Early 305366 -0.0026 0.0074  0.518 0.016
Sig_LevyArea 1h  TOD_Mid   306240 -0.0047 -0.0109 0.495 -0.027
Sig_LevyArea 1h  TOD_Late  267945 0.0660  0.0535  0.534 0.025

Hilbert_Phase 15m TOD_Early 305366 0.0050  -0.0061 0.497 0.008
Hilbert_Phase 15m TOD_Mid   306240 -0.0063 -0.0175 0.490 -0.006
Hilbert_Phase 15m TOD_Late  267945 -0.0038 -0.0220 0.487 -0.004
Hilbert_Phase 30m TOD_Early 305366 0.0085  -0.0084 0.495 0.011
Hilbert_Phase 30m TOD_Mid   306240 -0.0101 -0.0206 0.487 -0.010
Hilbert_Phase 30m TOD_Late  267945 -0.0062 -0.0268 0.485 -0.006
Hilbert_Phase 1h  TOD_Early 305366 0.0070  -0.0067 0.497 0.010
Hilbert_Phase 1h  TOD_Mid   306240 -0.0094 -0.0147 0.491 -0.010
Hilbert_Phase 1h  TOD_Late  267945 -0.0001 -0.0163 0.491 0.002

