=== QuantDev Streaming Winning Math Report ===
Generated: 2025-12-04T15:25:34-06:00
BaseDir:  data
OOS Cut:  2024-01-01 (YMD=20240101)

==================================================
SYMBOL: BTCUSDT
==================================================

-- BTCUSDT | Horizon: 0.500s (500 ms) --
FEATURE	SET	COUNT	IC	IC_T	Sharpe	HitRate	B/E_Bps	AutoCorr	AutoCorrAbs	AvgSeg	MaxSeg	MeanSig	StdSig	MeanRet	StdRet	MeanPnL	StdPnL
TCI_DEMA_15s    	IS	48439754	0.0178	2.856	0.027	0.514	2.09	0.990	0.981	52.41	19093	0.0067	0.3273	0.000004	0.000591	0.000003	0.000127
TCI_DEMA_15s    	OOS	22537460	0.0459	10.224	0.054	0.534	3.19	0.995	0.987	62.85	21454	-0.0095	0.3374	-0.000001	0.000292	0.000005	0.000083
TCI_EMA_15s     	IS	48439754	0.0108	-1.960	0.017	0.510	1.94	0.995	0.990	78.93	20009	0.0070	0.2592	0.000004	0.000591	0.000002	0.000099
TCI_EMA_15s     	OOS	22537460	0.0298	4.837	0.036	0.525	3.22	0.998	0.995	98.00	28066	-0.0093	0.2700	-0.000001	0.000292	0.000002	0.000065
TCI_Raw         	IS	48439754	0.0488	45.196	0.049	0.534	0.45	0.357	0.000	3.11	1103	-0.0019	1.0000	0.000004	0.000591	0.000029	0.000591
TCI_Raw         	OOS	22537460	0.1696	63.072	0.172	0.600	0.98	0.492	0.000	3.94	1967	-0.0093	1.0000	-0.000001	0.000292	0.000050	0.000288
Vel_Inst        	IS	48439754	0.0362	37.665	0.025	0.534	0.34	0.381	0.286	3.11	1103	-0.0747	17.7849	0.000004	0.000591	0.000381	0.015185
Vel_Inst        	OOS	22537460	0.0839	44.332	0.062	0.600	0.46	0.290	0.239	3.94	1967	-0.0450	11.5836	-0.000001	0.000292	0.000284	0.004609

==================================================
SYMBOL: ETHUSDT
==================================================

-- ETHUSDT | Horizon: 0.500s (500 ms) --
FEATURE	SET	COUNT	IC	IC_T	Sharpe	HitRate	B/E_Bps	AutoCorr	AutoCorrAbs	AvgSeg	MaxSeg	MeanSig	StdSig	MeanRet	StdRet	MeanPnL	StdPnL
Force_DEMA_15s  	IS	47260210	0.0642	36.597	0.054	0.555	0.47	0.868	0.682	65.68	17759	0.1681	32.8787	0.000002	0.000201	0.000424	0.007900
Force_DEMA_15s  	OOS	22449811	0.1347	41.846	0.114	0.590	1.14	0.931	0.782	119.43	13988	0.0078	37.3051	-0.000000	0.000140	0.000704	0.006181
Impulse_15s     	IS	47260210	0.0440	28.836	0.037	0.541	0.32	0.858	0.684	97.31	21626	0.2717	31.0736	0.000002	0.000201	0.000275	0.007477
Impulse_15s     	OOS	22449811	0.1049	33.811	0.087	0.565	0.87	0.927	0.790	177.93	17647	0.0427	35.6656	-0.000000	0.000140	0.000524	0.006051
