MODEL            HORIZON TrainN  TestN  PearsonIC SpearmanIC  HitRate HitZ  Sharpe Spread(bps) TopDecile(bps) BotDecile(bps)  MI(bits) NMI   ΔLogLoss
-----            ------- ------  -----  --------- ----------- ------- ----  ------ ----------- -------------- --------------- -------- ---   --------
Sig_LevyArea 30m VolHigh 298802 0.0252 0.0065 0.503 -0.010
Sig_LevyArea 1h  VolLow  298804 0.0019 0.0007 0.511 0.025
Sig_LevyArea 1h  VolMed  298803 0.0096 0.0170 0.518 0.036
Sig_LevyArea 1h  VolHigh 298802 0.0290 0.0106 0.505 -0.011

Hilbert_Phase 15m VolLow  298804 -0.0217 -0.0214 0.489 -0.024
Hilbert_Phase 15m VolMed  298803 -0.0538 -0.0496 0.469 -0.063
Hilbert_Phase 15m VolHigh 298802 0.0142  0.0022  0.485 0.016
Hilbert_Phase 30m VolLow  298804 -0.0166 -0.0176 0.491 -0.019
Hilbert_Phase 30m VolMed  298803 -0.0474 -0.0432 0.473 -0.054
Hilbert_Phase 30m VolHigh 298802 0.0142  0.0037  0.487 0.016
Hilbert_Phase 1h  VolLow  298804 -0.0177 -0.0170 0.491 -0.019
Hilbert_Phase 1h  VolMed  298803 -0.0395 -0.0382 0.478 -0.046
Hilbert_Phase 1h  VolHigh 298802 0.0083  0.0016  0.491 0.009



# Time-of-day regime OOS metrics (test segment only)
MODEL            HORIZON REGIME    Count  PearsonIC SpearmanIC  HitRate Sharpe
-----            ------- ------    -----  --------- ----------- ------- ------
Hawkes_Intensity 15m     TOD_Early 311331 -0.0045   0.0045      0.505   0.005
Hawkes_Intensity 15m     TOD_Mid   312000 0.0074    0.0001      0.500   -0.007
Hawkes_Intensity 15m     TOD_Late  273078 0.0176    0.0044      0.511   0.003
Hawkes_Intensity 30m     TOD_Early 311331 0.0006    0.0062      0.510   0.008
Hawkes_Intensity 30m     TOD_Mid   312000 0.0108    0.0033      0.499   -0.010
Hawkes_Intensity 30m     TOD_Late  273078 0.0196    0.0084      0.516   0.004
Hawkes_Intensity 1h      TOD_Early 311331 0.0002    0.0092      0.516   0.014
Hawkes_Intensity 1h      TOD_Mid   312000 0.0148    0.0041      0.498   -0.016
Hawkes_Intensity 1h      TOD_Late  273078 0.0221    0.0126      0.522   0.005

Hawkes_OFI 15m TOD_Early 311331 0.0021  -0.0331 0.485 -0.006
Hawkes_OFI 15m TOD_Mid   312000 -0.0124 -0.0441 0.481 -0.015
Hawkes_OFI 15m TOD_Late  273078 0.0043  -0.0327 0.484 -0.001
Hawkes_OFI 30m TOD_Early 311331 -0.0049 -0.0313 0.487 -0.009
Hawkes_OFI 30m TOD_Mid   312000 -0.0114 -0.0431 0.482 -0.017
Hawkes_OFI 30m TOD_Late  273078 0.0056  -0.0342 0.483 -0.001
Hawkes_OFI 1h  TOD_Early 311331 -0.0109 -0.0257 0.489 -0.009
Hawkes_OFI 1h  TOD_Mid   312000 -0.0145 -0.0292 0.487 -0.011
Hawkes_OFI 1h  TOD_Late  273078 0.0021  -0.0339 0.484 -0.003

Sig_LevyArea 15m TOD_Early 311331 -0.0109 0.0018 0.505 0.005
Sig_LevyArea 15m TOD_Mid   312000 0.0119  0.0087 0.500 -0.007
Sig_LevyArea 15m TOD_Late  273078 0.0243  0.0231 0.511 0.002
Sig_LevyArea 30m TOD_Early 311331 -0.0058 0.0056 0.510 0.008
Sig_LevyArea 30m TOD_Mid   312000 0.0150  0.0117 0.499 -0.010
Sig_LevyArea 30m TOD_Late  273078 0.0386  0.0292 0.516 0.003
Sig_LevyArea 1h  TOD_Early 311331 -0.0046 0.0102 0.516 0.014
Sig_LevyArea 1h  TOD_Mid   312000 0.0209  0.0075 0.498 -0.016
Sig_LevyArea 1h  TOD_Late  273078 0.0381  0.0367 0.522 0.005

Hilbert_Phase 15m TOD_Early 311331 0.0001  -0.0265 0.483 0.000
Hilbert_Phase 15m TOD_Mid   312000 -0.0081 -0.0357 0.476 -0.009
Hilbert_Phase 15m TOD_Late  273078 0.0046  -0.0203 0.485 0.004
Hilbert_Phase 30m TOD_Early 311331 0.0052  -0.0206 0.489 0.006
Hilbert_Phase 30m TOD_Mid   312000 -0.0092 -0.0312 0.478 -0.010
Hilbert_Phase 30m TOD_Late  273078 0.0050  -0.0204 0.484 0.005
Hilbert_Phase 1h  TOD_Early 311331 0.0026  -0.0168 0.490 0.003
Hilbert_Phase 1h  TOD_Mid   312000 -0.0084 -0.0216 0.483 -0.010
Hilbert_Phase 1h  TOD_Late  273078 0.0002  -0.0209 0.486 -0.001

