MODEL            HORIZON TrainN TestN PearsonIC SpearmanIC  HitRate HitZ  Sharpe Spread(bps) TopDecile(bps) BotDecile(bps)  MI(bits) NMI   ΔLogLoss
-----            ------- ------ ----- --------- ----------- ------- ----  ------ ----------- -------------- --------------- -------- ---   --------
Hawkes_OFI 15m VolHigh 26273 -0.0495 0.0054  0.500 0.007
Hawkes_OFI 30m VolLow  26274 -0.0204 -0.0246 0.491 -0.020
Hawkes_OFI 30m VolMed  26274 -0.0087 -0.0015 0.503 0.006
Hawkes_OFI 30m VolHigh 26273 -0.0485 0.0125  0.510 0.021
Hawkes_OFI 1h  VolLow  26274 0.0208  0.0260  0.513 0.026
Hawkes_OFI 1h  VolMed  26274 0.0114  0.0086  0.502 0.004
Hawkes_OFI 1h  VolHigh 26273 -0.0831 -0.0263 0.497 -0.006

Sig_LevyArea 15m VolLow  26274 0.0013  -0.0064 0.502 0.004
Sig_LevyArea 15m VolMed  26274 -0.0119 -0.0122 0.497 -0.009
Sig_LevyArea 15m VolHigh 26273 0.1486  0.0087  0.489 -0.008
Sig_LevyArea 30m VolLow  26274 0.0082  -0.0015 0.505 0.010
Sig_LevyArea 30m VolMed  26274 0.0009  -0.0189 0.495 -0.013
Sig_LevyArea 30m VolHigh 26273 0.1888  -0.0065 0.490 -0.010
Sig_LevyArea 1h  VolLow  26274 -0.0136 -0.0089 0.509 0.008
Sig_LevyArea 1h  VolMed  26274 0.0245  0.0150  0.506 0.009
Sig_LevyArea 1h  VolHigh 26273 0.1692  -0.0155 0.487 -0.020

Hilbert_Phase 15m VolLow  26274 -0.0030 -0.0041 0.498 -0.005
Hilbert_Phase 15m VolMed  26274 -0.0073 -0.0127 0.496 -0.010
Hilbert_Phase 15m VolHigh 26273 0.0102  0.0065  0.499 0.012
Hilbert_Phase 30m VolLow  26274 -0.0147 -0.0135 0.490 -0.021
Hilbert_Phase 30m VolMed  26274 0.0070  0.0055  0.500 0.002
Hilbert_Phase 30m VolHigh 26273 0.0188  0.0070  0.508 0.020
Hilbert_Phase 1h  VolLow  26274 0.0105  0.0131  0.506 0.011
Hilbert_Phase 1h  VolMed  26274 -0.0191 -0.0139 0.490 -0.020
Hilbert_Phase 1h  VolHigh 26273 -0.0151 -0.0109 0.495 -0.018



# Time-of-day regime OOS metrics (test segment only)
MODEL            HORIZON REGIME    Count PearsonIC SpearmanIC  HitRate Sharpe
-----            ------- ------    ----- --------- ----------- ------- ------
Hawkes_Intensity 15m     TOD_Early 27303 0.0087    0.0019      0.499   0.003
Hawkes_Intensity 15m     TOD_Mid   27360 -0.0036   -0.0011     0.475   -0.037
Hawkes_Intensity 15m     TOD_Late  24158 0.0429    0.0073      0.516   0.014
Hawkes_Intensity 30m     TOD_Early 27303 0.0065    -0.0065     0.497   0.006
Hawkes_Intensity 30m     TOD_Mid   27360 0.0078    0.0017      0.470   -0.053
Hawkes_Intensity 30m     TOD_Late  24158 0.0572    0.0213      0.528   0.023
Hawkes_Intensity 1h      TOD_Early 27303 0.0007    -0.0042     0.506   0.009
Hawkes_Intensity 1h      TOD_Mid   27360 0.0116    0.0146      0.467   -0.076
Hawkes_Intensity 1h      TOD_Late  24158 0.0636    0.0242      0.531   0.037

Hawkes_OFI 15m TOD_Early 27303 0.0293  0.0096  0.501 0.019
Hawkes_OFI 15m TOD_Mid   27360 -0.0501 -0.0147 0.494 -0.012
Hawkes_OFI 15m TOD_Late  24158 -0.0631 -0.0079 0.504 0.006
Hawkes_OFI 30m TOD_Early 27303 0.0577  0.0198  0.507 0.033
Hawkes_OFI 30m TOD_Mid   27360 -0.0461 -0.0114 0.497 -0.003
Hawkes_OFI 30m TOD_Late  24158 -0.0882 -0.0041 0.499 0.007
Hawkes_OFI 1h  TOD_Early 27303 0.0518  0.0118  0.506 0.024
Hawkes_OFI 1h  TOD_Mid   27360 -0.0571 -0.0197 0.498 -0.009
Hawkes_OFI 1h  TOD_Late  24158 -0.1256 -0.0139 0.508 -0.017

Sig_LevyArea 15m TOD_Early 27303 -0.0077 -0.0044 0.499 0.003
Sig_LevyArea 15m TOD_Mid   27360 0.0091  -0.0028 0.475 -0.037
Sig_LevyArea 15m TOD_Late  24158 0.2099  0.0053  0.515 0.011
Sig_LevyArea 30m TOD_Early 27303 -0.0083 -0.0119 0.497 0.006
Sig_LevyArea 30m TOD_Mid   27360 0.0201  -0.0039 0.470 -0.053
Sig_LevyArea 30m TOD_Late  24158 0.2777  0.0008  0.527 0.019
Sig_LevyArea 1h  TOD_Early 27303 -0.0184 -0.0111 0.506 0.009
Sig_LevyArea 1h  TOD_Mid   27360 0.0399  0.0173  0.467 -0.076
Sig_LevyArea 1h  TOD_Late  24158 0.2504  0.0167  0.532 0.037

Hilbert_Phase 15m TOD_Early 27303 0.0108  0.0063  0.499 0.010
Hilbert_Phase 15m TOD_Mid   27360 -0.0082 -0.0115 0.494 -0.009
Hilbert_Phase 15m TOD_Late  24158 0.0085  -0.0020 0.501 0.011
Hilbert_Phase 30m TOD_Early 27303 0.0156  0.0053  0.495 0.016
Hilbert_Phase 30m TOD_Mid   27360 0.0005  0.0018  0.497 0.000
Hilbert_Phase 30m TOD_Late  24158 0.0142  0.0036  0.505 0.013
Hilbert_Phase 1h  TOD_Early 27303 0.0059  -0.0012 0.499 0.007
Hilbert_Phase 1h  TOD_Mid   27360 -0.0147 -0.0102 0.493 -0.014
Hilbert_Phase 1h  TOD_Late  24158 -0.0254 -0.0149 0.498 -0.029

